seed,variant,arm,attempts,failures,accepted
53,4,memory-ablated,4,1,true
53,5,control,4,1,true
53,5,memory,3,0,true
53,5,memory-ablated,4,1,true
53,6,memory,3,0,true
53,6,control,5,2,true
53,6,memory-ablated,5,2,true
54,0,discovery,8,5,true
54,1,control,7,4,true
54,1,memory,3,0,true
54,1,memory-ablated,7,4,true
54,2,memory,3,0,true
54,2,control,7,4,true
54,2,memory-ablated,7,4,true
54,3,control,5,2,true
54,3,memory,3,0,true
54,3,memory-ablated,5,2,true
54,4,memory,3,0,true
54,4,control,6,3,true
54,4,memory-ablated,6,3,true
54,5,control,5,2,true
54,5,memory,3,0,true
54,5,memory-ablated,5,2,true
54,6,memory,3,0,true
54,6,control,4,1,true
54,6,memory-ablated,4,1,true
55,0,discovery,6,3,true
55,1,control,4,1,true
55,1,memory,3,0,true
55,1,memory-ablated,4,1,true
55,2,memory,3,0,true
55,2,control,3,0,true
55,2,memory-ablated,3,0,true
55,3,control,6,3,true
55,3,memory,3,0,true
55,3,memory-ablated,6,3,true
55,4,memory,3,0,true
55,4,control,3,0,true
55,4,memory-ablated,3,0,true
55,5,control,6,3,true
55,5,memory,3,0,true
55,5,memory-ablated,6,3,true
55,6,memory,3,0,true
55,6,control,4,1,true
55,6,memory-ablated,4,1,true
56,0,discovery,4,1,true
56,1,control,6,3,true
56,1,memory,3,0,true
56,1,memory-ablated,6,3,true
56,2,memory,3,0,true
56,2,control,6,3,true
56,2,memory-ablated,6,3,true
56,3,control,5,2,true
56,3,memory,3,0,true
56,3,memory-ablated,5,2,true
56,4,memory,3,0,true
56,4,control,6,3,true
56,4,memory-ablated,6,3,true
56,5,control,7,4,true
56,5,memory,3,0,true
56,5,memory-ablated,7,4,true
56,6,memory,3,0,true
56,6,control,8,5,true
56,6,memory-ablated,8,5,true
57,0,discovery,6,3,true
57,1,control,4,1,true
57,1,memory,3,0,true
57,1,memory-ablated,4,1,true
57,2,memory,3,0,true
57,2,control,5,2,true
57,2,memory-ablated,5,2,true
57,3,control,4,1,true
57,3,memory,3,0,true
57,3,memory-ablated,4,1,true
57,4,memory,3,0,true
57,4,control,5,2,true
57,4,memory-ablated,5,2,true
57,5,control,7,4,true
57,5,memory,3,0,true
57,5,memory-ablated,7,4,true
57,6,memory,3,0,true
57,6,control,6,3,true
57,6,memory-ablated,6,3,true
58,0,discovery,5,2,true
58,1,control,6,3,true
58,1,memory,3,0,true
58,1,memory-ablated,6,3,true
58,2,memory,3,0,true
58,2,control,6,3,true
58,2,memory-ablated,6,3,true
58,3,control,8,5,true
58,3,memory,3,0,true
58,3,memory-ablated,8,5,true
58,4,memory,3,0,true
58,4,control,8,5,true
58,4,memory-ablated,8,5,true
58,5,control,7,4,true
58,5,memory,3,0,true
58,5,memory-ablated,7,4,true
58,6,memory,3,0,true
58,6,control,6,3,true
58,6,memory-ablated,6,3,true
59,0,discovery,5,2,true
59,1,control,5,2,true
59,1,memory,3,0,true
59,1,memory-ablated,5,2,true
59,2,memory,3,0,true
59,2,control,7,4,true
59,2,memory-ablated,7,4,true
59,3,control,8,5,true
59,3,memory,3,0,true
59,3,memory-ablated,8,5,true
59,4,memory,3,0,true
59,4,control,7,4,true
59,4,memory-ablated,7,4,true
59,5,control,6,3,true
59,5,memory,3,0,true
59,5,memory-ablated,6,3,true
59,6,memory,3,0,true
59,6,control,5,2,true
59,6,memory-ablated,5,2,true
60,0,discovery,5,2,true
60,1,control,7,4,true
60,1,memory,3,0,true
60,1,memory-ablated,7,4,true
60,2,memory,3,0,true
60,2,control,7,4,true
60,2,memory-ablated,7,4,true
60,3,control,8,5,true
60,3,memory,3,0,true
60,3,memory-ablated,8,5,true
60,4,memory,3,0,true
60,4,control,6,3,true
60,4,memory-ablated,6,3,true
60,5,control,7,4,true
60,5,memory,3,0,true
60,5,memory-ablated,7,4,true
60,6,memory,3,0,true
60,6,control,6,3,true
60,6,memory-ablated,6,3,true
